Feature,Importance
pre_realized_vol,0.06914501
log_hype_volume,0.068695165
pre_amihud_log_30m,0.061229173
log_cmc_market_cap,0.05838889
pump_dayofweek,0.056373417
pre_zero_ret_ratio_30m,0.05622073
instruction_density,0.055782627
log_coin_age_days,0.052935097
pre_amihud_illiq,0.052723374
pre_clv_mean_30m,0.051103566
pre_parkinson_vol_30m,0.05045347
pump_hour,0.0499592
pre_run_up_60m,0.04975783
pre_vol_z_score,0.04839604
log_cmc_volume_24h,0.048237775
urgency_index,0.048121013
pre_roll_measure_30m,0.0464306
hype_intensity,0.04037592
is_weekend,0.035671152
